Income,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
"Under \$125,000",0.10975609756097561,0.11585365853658537,0.13414634146341464,0.3170731707317073,0.1524390243902439,0.12195121951219512,0.04878048780487805
"\$125,000 to under \$2 million",0.012422360248447204,0.037267080745341616,0.09937888198757763,0.2981366459627329,0.2111801242236025,0.19254658385093168,0.14906832298136646
\$2 million to under \$30 million,0.03125,,0.15625,0.3125,0.15625,0.15625,0.1875
\$30 million or more,,,0.75,,,0.25,
