,Percentage,Support Needed
0,0.4293628808864266,More volunteers
0,0.16620498614958448,HR support and advice
0,0.3601108033240997,Digital technology
0,0.12465373961218837,Legal obligations
0,0.2880886426592798,Grant writing
0,0.4293628808864266,Fundraising
0,0.2077562326869806,Resources to manage volunteers
0,0.19390581717451524,Governance
0,0.0997229916897507,Leadership
0,0.22160664819944598,Innovation and strategic advice
0,0.3518005540166205,Marketing and communications
0,0.19667590027700832,Staff training
0,0.2659279778393352,Support to connect and collaborate with others
