,Percentage,Sector changes
0,0.6285119667013528,Collaboration between organisations
0,0.20187304890738814,Mergers of organisations
0,0.3881373569198751,Sector-wide leadership to provide voice and influence
0,0.3142559833506764,Strengthening financial and management knowledge/skills
0,0.331945889698231,Strengthening governance knowledge/skills
0,0.32466181061394384,Access to information and data in one place
0,0.6045785639958376,Funding to cover salaries and operational costs
