# volunteers,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
1-5 volunteers,0.09333333333333334,0.09333333333333334,0.10666666666666667,0.30666666666666664,0.14666666666666667,0.17333333333333334,0.08
6-10 volunteers,0.0759493670886076,0.1518987341772152,0.1518987341772152,0.3037974683544304,0.20253164556962025,0.06329113924050633,0.05063291139240506
11-20 volunteers,0.06557377049180328,0.03278688524590164,0.14754098360655737,0.22950819672131148,0.2459016393442623,0.14754098360655737,0.13114754098360656
21-50 volunteers,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.5,0.0967741935483871,0.14516129032258066,0.06451612903225806
More than 50 volunteers,,0.017857142857142856,0.16071428571428573,0.21428571428571427,0.26785714285714285,0.23214285714285715,0.10714285714285714
