# paid staff,More than one year,Six to twelve months,Four to five months,Two to three months,Up to one month,None of the above,I'm not sure
No paid staff,0.29608938547486036,0.3240223463687151,0.09497206703910614,0.15083798882681565,0.1340782122905028,,
1-5 staff,0.1940700808625337,0.2991913746630728,0.20485175202156333,0.25067385444743934,0.05121293800539083,,
6-10 staff,0.12149532710280374,0.308411214953271,0.24299065420560748,0.27102803738317754,0.056074766355140186,,
11-20 staff,0.24691358024691357,0.24691358024691357,0.14814814814814814,0.25925925925925924,0.09876543209876543,,
21-50 staff,0.24242424242424243,0.30303030303030304,0.22727272727272727,0.18181818181818182,0.045454545454545456,,
More than 50 staff,0.24489795918367346,0.22448979591836735,0.16326530612244897,0.32653061224489793,0.04081632653061224,,
