# paid staff,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
No paid staff,0.10476190476190476,0.13333333333333333,0.1619047619047619,0.3619047619047619,0.09523809523809523,0.09523809523809523,0.047619047619047616
1-5 staff,0.05223880597014925,0.05223880597014925,0.11194029850746269,0.30597014925373134,0.23134328358208955,0.15671641791044777,0.08955223880597014
6-10 staff,0.025,0.1,,0.325,0.2,0.25,0.1
11-20 staff,,,0.23333333333333334,0.2,0.16666666666666666,0.16666666666666666,0.23333333333333334
21-50 staff,,,0.10714285714285714,0.17857142857142858,0.25,0.21428571428571427,0.25
More than 50 staff,0.08333333333333333,,0.16666666666666666,0.2916666666666667,0.125,0.20833333333333334,0.125
