,Percentage,Service delivery changes
0,0.3184183142559833,Cut some services
0,0.35275754422476585,Seek new funding sources
0,0.54630593132154,Deliver more remote online or phone services
0,0.09885535900104059,Develop new in-person service offerings
0,0.10509885535900104,Reduce service costs to users
0,0.009365244536940686,Increase service costs to users
0,0.10093652445369407,Change kaupapa
