# paid staff,More than one year,Six to twelve months,Four to five months,Two to three months,Up to one month,None of the above,I'm not sure
No paid staff,0.2857142857142857,0.1523809523809524,0.02857142857142857,0.047619047619047616,0.0380952380952381,0.08571428571428572,0.2
1-5 staff,0.3880597014925373,0.2462686567164179,0.09701492537313433,0.12686567164179105,0.022388059701492536,0.007462686567164179,0.05970149253731343
6-10 staff,0.25,0.275,0.2,0.15,,0.025,0.05
11-20 staff,0.3333333333333333,0.26666666666666666,0.03333333333333333,0.26666666666666666,,,0.06666666666666667
21-50 staff,0.25,0.17857142857142858,0.14285714285714285,0.03571428571428571,,0.03571428571428571,0.17857142857142858
More than 50 staff,0.4166666666666667,0.125,0.041666666666666664,0.041666666666666664,,,0.2916666666666667
